level,shot,target,pigsBefore,pigsAfter
1,0-34,stone8,9,9
1,0-34-39,stone9,9,9
1,0-34-39-32,stone8,9,9
1,0-34-39-32-40,stone9,9,2
1,0-39,stone9,9,9
1,0-39-27,wood6,9,9
1,0-39-27-16,stone3,9,5
1,0-39-27-16-3,stone16,5,2
1,0-43,wood1,9,9
1,0-43-34,stone7,9,9
1,0-43-34-37,wood5,9,9
1,0-43-34-37-29,stone6,9,2
1,0-39,stone9,9,9
1,0-39-5,stone13,9,9
1,0-39-5-34,stone8,9,9
1,0-39-5-34-16,stone3,9,2
1,0-35,stone8,9,9
1,0-35-28,stone7,9,9
1,0-35-28-29,stone6,9,9
1,0-35-28-29-57,wood4,9,2
1,0-16,stone3,9,9
1,0-16-40,stone9,9,9
1,0-16-40-36,stone8,9,7
1,0-16-40-36-37,stone5,7,2
1,0-32,stone8,9,9
1,0-32-17,stone4,9,9
1,0-32-17-4,stone12,9,9
1,0-32-17-4-3,ice2,9,2
1,0-28,stone5,9,9
1,0-28-37,stone7,9,8
1,0-28-37-14,stone2,8,8
1,0-28-37-14-42,stone8,8,2
1,0-44,wood1,9,9
1,0-44-12,stone16,9,9
1,0-44-12-43,wood0,9,9
1,0-44-12-43-18,stone10,9,2
1,0-20,stone4,9,9
1,0-20-7,stone12,9,9
1,0-20-7-6,stone12,9,9
1,0-20-7-6-31,stone5,9,2
1,0-10,stone17,9,9
1,0-10-17,stone4,9,5
1,0-10-17-9,stone2,5,5
1,0-10-17-9-1,stone12,5,0
1,0-20,stone4,9,9
1,0-20-9,stone12,9,9
1,0-20-9-9,stone12,9,9
1,0-20-9-9-34,stone5,9,2
1,0-11,stone17,9,9
1,0-11-15,stone21,9,9
1,0-11-15-12,stone17,9,9
1,0-11-15-12-38,stone9,9,2
1,0-46,wood7,9,9
1,0-46-20,stone3,9,9
1,0-46-20-45,stone8,9,9
1,0-46-20-45-37,stone7,9,2
1,0-10,stone17,9,9
1,0-10-14,stone21,9,9
1,0-10-14-25,stone4,9,8
1,0-10-14-25-8,stone14,8,2
1,0-49,wood7,9,9
1,0-49-4,stone13,9,9
1,0-49-4-20,stone3,9,9
1,0-49-4-20-27,stone6,9,2
1,0-26,stone5,9,9
1,0-26-33,stone8,9,9
1,0-26-33-31,stone5,9,8
1,0-26-33-31-21,stone10,8,2
1,0-0,ice6,9,9
1,0-0-52,wood8,9,8
1,0-0-52-1,ice5,8,8
1,0-0-52-1-4,stone13,8,2
1,0-29,stone5,9,9
1,0-29-30,stone8,9,8
1,0-29-30-11,stone17,8,8
1,0-29-30-11-16,stone2,8,0
1,0-19,stone4,9,9
1,0-19-23,stone5,9,9
1,0-19-23-36,stone6,9,9
1,0-19-23-36-12,stone15,9,2
1,0-8,stone13,9,9
1,0-8-32,stone7,9,9
1,0-8-32-25,stone4,9,9
1,0-8-32-25-38,stone7,9,2
1,0-47,wood7,9,9
1,0-47-41,stone8,9,9
1,0-47-41-20,stone2,9,9
1,0-47-41-20-46,wood1,9,2
1,0-29,stone5,9,9
1,0-29-20,stone5,9,8
1,0-29-20-33,stone8,8,8
1,0-29-20-33-40,stone8,8,2
1,0-10,stone17,9,9
1,0-10-30,stone6,9,8
1,0-10-30-4,stone13,8,8
1,0-10-30-4-40,stone8,8,2
1,0-32,stone8,9,9
1,0-32-18,stone4,9,9
1,0-32-18-15,stone15,9,9
1,0-32-18-15-30,stone5,9,2
1,0-13,stone23,9,9
1,0-13-32,stone5,9,9
1,0-13-32-6,stone15,9,9
1,0-13-32-6-25,stone5,9,0
1,0-2,stone13,9,9
1,0-2-26,stone5,9,9
1,0-2-26-18,stone3,9,9
1,0-2-26-18-7,stone13,9,2
1,0-8,stone13,9,9
1,0-8-49,wood8,9,7
1,0-8-49-29,stone6,7,7
1,0-8-49-29-0,ice3,7,0
1,0-19,stone4,9,9
1,0-19-51,wood7,9,9
1,0-19-51-18,stone5,9,5
1,0-19-51-18-5,stone16,5,2
1,0-18,stone4,9,9
1,0-18-35,stone8,9,9
1,0-18-35-34,stone7,9,9
1,0-18-35-34-33,stone5,9,2
1,0-29,stone5,9,9
1,0-29-23,stone5,9,9
1,0-29-23-44,wood3,9,7
1,0-29-23-44-27,stone5,7,2
1,0-27,stone5,9,9
1,0-27-48,wood6,9,9
1,0-27-48-50,wood7,9,5
1,0-27-48-50-15,stone21,5,2
1,0-46,wood7,9,9
1,0-46-4,stone13,9,9
1,0-46-4-43,wood0,9,7
1,0-46-4-43-1,stone11,7,2
1,0-32,stone8,9,9
1,0-32-16,stone4,9,5
1,0-32-16-13,stone14,5,5
1,0-32-16-13-16,stone2,5,2
1,0-42,wood0,9,9
1,0-42-41,wood0,9,7
1,0-42-41-19,stone2,7,7
1,0-42-41-19-0,stone0,7,2
1,0-2,stone13,9,9
1,0-2-31,stone6,9,9
1,0-2-31-23,stone5,9,7
1,0-2-31-23-9,stone1,7,2
1,0-7,stone13,9,9
1,0-7-15,stone21,9,9
1,0-7-15-41,wood0,9,6
