solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,99,61,31,4,0.6666666666666666,0.9611650485436893,0.61875,0.752851711026616
popper_random_filter,87,73,27,8,0.5846153846153846,0.9157894736842105,0.54375,0.6823529411764706
popper_sb_filter,14,146,35,0,0.2512820512820513,1.0,0.0875,0.16091954022988506
popper_sb_filter_dl,134,26,18,17,0.7794871794871795,0.8874172185430463,0.8375,0.8617363344051447
popper_random_filter_dl_bkcons,121,39,31,4,0.7794871794871795,0.968,0.75625,0.8491228070175438
popper_random,21,139,35,0,0.28717948717948716,1.0,0.13125,0.23204419889502761
popper_all_dl,109,51,31,4,0.717948717948718,0.9646017699115044,0.68125,0.7985347985347986
popper_all_filter_dl_bkcons,122,38,29,6,0.7743589743589744,0.953125,0.7625,0.8472222222222222
popper_all_filter_dl,94,66,33,2,0.6512820512820513,0.9791666666666666,0.5875,0.734375
popper_sb_dl_bkcons,128,32,21,14,0.764102564102564,0.9014084507042254,0.8,0.847682119205298
popper_random_dl_bkcons,47,113,34,1,0.4153846153846154,0.9791666666666666,0.29375,0.4519230769230769
popper_sb_filter_dl_bkcons,133,27,16,19,0.764102564102564,0.875,0.83125,0.8525641025641025
era_paper,66,94,33,2,0.5076923076923077,0.9705882352941176,0.4125,0.5789473684210527
popper_sb_dl,133,27,26,9,0.8153846153846154,0.9366197183098591,0.83125,0.8807947019867549
popper_random_dl,47,113,31,4,0.4,0.9215686274509803,0.29375,0.44549763033175355
aleph_sb,140,20,27,8,0.8564102564102564,0.9459459459459459,0.875,0.9090909090909091
aleph_random,138,22,21,14,0.8153846153846154,0.9078947368421053,0.8625,0.8846153846153846
popper_all_dl_bkcons,91,69,31,4,0.6256410256410256,0.9578947368421052,0.56875,0.7137254901960784
aleph_all,127,33,23,12,0.7692307692307693,0.9136690647482014,0.79375,0.8494983277591973
popper_sb,79,81,29,6,0.5538461538461539,0.9294117647058824,0.49375,0.6448979591836734
popper_all_norec,90,70,33,2,0.6307692307692307,0.9782608695652174,0.5625,0.7142857142857143
manual,160,0,25,10,0.9487179487179487,0.9411764705882353,1.0,0.9696969696969697
popper_random_filter_dl,66,94,32,3,0.5025641025641026,0.9565217391304348,0.4125,0.5764192139737991
popper_all_filter,81,79,33,2,0.5846153846153846,0.9759036144578314,0.50625,0.6666666666666666
