solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,57,95,7,2,0.39751552795031053,0.9661016949152542,0.375,0.5402843601895735
popper_random_filter,65,87,8,1,0.453416149068323,0.9848484848484849,0.4276315789473684,0.5963302752293578
popper_sb_filter,85,67,6,3,0.5652173913043478,0.9659090909090909,0.5592105263157895,0.7083333333333334
popper_sb_filter_dl,87,65,5,4,0.5714285714285714,0.9560439560439561,0.5723684210526315,0.7160493827160493
popper_random_filter_dl_bkcons,92,60,6,3,0.6086956521739131,0.968421052631579,0.6052631578947368,0.7449392712550608
popper_random,128,24,3,6,0.8136645962732919,0.9552238805970149,0.8421052631578947,0.8951048951048951
popper_all_dl,79,73,7,2,0.5341614906832298,0.9753086419753086,0.5197368421052632,0.6781115879828327
popper_all_filter_dl_bkcons,121,31,3,6,0.7701863354037267,0.952755905511811,0.7960526315789473,0.8673835125448028
popper_all_filter_dl,107,45,3,6,0.6832298136645962,0.9469026548672567,0.7039473684210527,0.8075471698113208
popper_sb_dl_bkcons,138,14,7,2,0.9006211180124224,0.9857142857142858,0.9078947368421053,0.9452054794520548
popper_random_dl_bkcons,137,15,3,6,0.8695652173913043,0.958041958041958,0.9013157894736842,0.9288135593220339
popper_sb_filter_dl_bkcons,117,35,4,5,0.7515527950310559,0.9590163934426229,0.7697368421052632,0.8540145985401459
era_paper,87,65,6,3,0.577639751552795,0.9666666666666667,0.5723684210526315,0.71900826446281
popper_sb_dl,141,11,2,7,0.8881987577639752,0.9527027027027027,0.9276315789473685,0.94
popper_random_dl,132,20,3,6,0.8385093167701864,0.9565217391304348,0.868421052631579,0.9103448275862069
aleph_sb,110,42,4,5,0.7080745341614907,0.9565217391304348,0.7236842105263158,0.8239700374531835
aleph_random,133,19,4,5,0.8509316770186336,0.9637681159420289,0.875,0.9172413793103448
popper_all_dl_bkcons,131,21,6,3,0.8509316770186336,0.9776119402985075,0.8618421052631579,0.916083916083916
aleph_all,124,28,6,3,0.8074534161490683,0.9763779527559056,0.8157894736842105,0.8888888888888888
popper_sb,148,4,4,5,0.9440993788819876,0.9673202614379085,0.9736842105263158,0.9704918032786886
popper_all_norec,78,74,5,4,0.515527950310559,0.9512195121951219,0.5131578947368421,0.6666666666666666
manual,145,7,4,5,0.9254658385093167,0.9666666666666667,0.9539473684210527,0.9602649006622517
popper_random_filter_dl,64,88,8,1,0.4472049689440994,0.9846153846153847,0.42105263157894735,0.5898617511520737
popper_all_filter,70,82,9,0,0.4906832298136646,1.0,0.4605263157894737,0.6306306306306306
