solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,12,108,79,1,0.455,0.9230769230769231,0.1,0.18045112781954886
popper_random_filter,16,104,79,1,0.475,0.9411764705882353,0.13333333333333333,0.23357664233576642
popper_sb_filter,56,64,61,19,0.585,0.7466666666666667,0.4666666666666667,0.5743589743589743
popper_sb_filter_dl,60,60,63,17,0.615,0.7792207792207793,0.5,0.6091370558375635
popper_random_filter_dl_bkcons,51,69,68,12,0.595,0.8095238095238095,0.425,0.5573770491803278
popper_random,89,31,53,27,0.71,0.7672413793103449,0.7416666666666667,0.7542372881355932
popper_all_dl,34,86,66,14,0.5,0.7083333333333334,0.2833333333333333,0.40476190476190477
popper_all_filter_dl_bkcons,92,28,50,30,0.71,0.7540983606557377,0.7666666666666667,0.7603305785123967
popper_all_filter_dl,75,45,58,22,0.665,0.7731958762886598,0.625,0.6912442396313364
popper_sb_dl_bkcons,83,37,56,24,0.695,0.7757009345794392,0.6916666666666667,0.7312775330396476
popper_random_dl_bkcons,104,16,48,32,0.76,0.7647058823529411,0.8666666666666667,0.8125
popper_sb_filter_dl_bkcons,85,35,54,26,0.695,0.7657657657657657,0.7083333333333334,0.7359307359307359
era_paper,60,60,67,13,0.635,0.821917808219178,0.5,0.6217616580310881
popper_sb_dl,111,9,43,37,0.77,0.75,0.925,0.8283582089552238
popper_random_dl,109,11,49,31,0.79,0.7785714285714286,0.9083333333333333,0.8384615384615385
popper_all_dl_bkcons,16,104,77,3,0.465,0.8421052631578947,0.13333333333333333,0.2302158273381295
popper_sb,120,0,44,36,0.82,0.7692307692307693,1.0,0.8695652173913043
popper_all_norec,71,49,59,21,0.65,0.7717391304347826,0.5916666666666667,0.6698113207547169
manual,120,0,44,36,0.82,0.7692307692307693,1.0,0.8695652173913043
popper_random_filter_dl,15,105,78,2,0.465,0.8823529411764706,0.125,0.21897810218978103
popper_all_filter,24,96,76,4,0.5,0.8571428571428571,0.2,0.32432432432432434
