solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,102,19,21,4,0.8424657534246576,0.9622641509433962,0.8429752066115702,0.8986784140969163
popper_random_filter,119,2,14,11,0.910958904109589,0.9153846153846154,0.9834710743801653,0.9482071713147411
popper_sb_filter,75,46,25,0,0.684931506849315,1.0,0.6198347107438017,0.7653061224489796
popper_sb_filter_dl,114,7,17,8,0.8972602739726028,0.9344262295081968,0.9421487603305785,0.9382716049382716
popper_random_filter_dl_bkcons,117,4,18,7,0.9246575342465754,0.9435483870967742,0.9669421487603306,0.9551020408163265
popper_random,86,35,23,2,0.7465753424657534,0.9772727272727273,0.7107438016528925,0.8229665071770335
popper_all_dl,111,10,20,5,0.8972602739726028,0.9568965517241379,0.9173553719008265,0.9367088607594937
popper_all_filter_dl_bkcons,116,5,15,10,0.8972602739726028,0.9206349206349206,0.9586776859504132,0.9392712550607287
popper_all_filter_dl,110,11,17,8,0.8698630136986302,0.9322033898305084,0.9090909090909091,0.9205020920502092
popper_sb_dl_bkcons,106,15,16,9,0.8356164383561644,0.9217391304347826,0.8760330578512396,0.8983050847457628
popper_random_dl_bkcons,103,18,17,8,0.821917808219178,0.9279279279279279,0.8512396694214877,0.8879310344827587
popper_sb_filter_dl_bkcons,116,5,20,5,0.9315068493150684,0.9586776859504132,0.9586776859504132,0.9586776859504132
era_paper,106,15,19,6,0.8561643835616438,0.9464285714285714,0.8760330578512396,0.9098712446351931
popper_sb_dl,118,3,15,10,0.910958904109589,0.921875,0.9752066115702479,0.9477911646586346
popper_random_dl,100,21,17,8,0.8013698630136986,0.9259259259259259,0.8264462809917356,0.8733624454148472
aleph_sb,107,14,21,4,0.8767123287671232,0.963963963963964,0.8842975206611571,0.9224137931034483
aleph_random,111,10,15,10,0.863013698630137,0.9173553719008265,0.9173553719008265,0.9173553719008265
popper_all_dl_bkcons,105,16,18,7,0.8424657534246576,0.9375,0.8677685950413223,0.9012875536480687
aleph_all,114,7,19,6,0.910958904109589,0.95,0.9421487603305785,0.946058091286307
popper_sb,88,33,22,3,0.7534246575342466,0.967032967032967,0.7272727272727273,0.8301886792452831
popper_all_norec,50,71,18,7,0.4657534246575342,0.8771929824561403,0.4132231404958678,0.5617977528089888
manual,121,0,16,9,0.9383561643835616,0.9307692307692308,1.0,0.9641434262948207
popper_random_filter_dl,110,11,17,8,0.8698630136986302,0.9322033898305084,0.9090909090909091,0.9205020920502092
popper_all_filter,107,14,20,5,0.8698630136986302,0.9553571428571429,0.8842975206611571,0.9184549356223176
