solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,73,59,61,6,0.6733668341708543,0.9240506329113924,0.553030303030303,0.6919431279620853
popper_random_filter,92,40,49,18,0.7085427135678392,0.8363636363636363,0.696969696969697,0.7603305785123967
popper_sb_filter,23,109,67,0,0.45226130653266333,1.0,0.17424242424242425,0.2967741935483871
popper_sb_filter_dl,114,18,44,23,0.7939698492462312,0.8321167883211679,0.8636363636363636,0.8475836431226765
popper_random_filter_dl_bkcons,91,41,59,8,0.7537688442211056,0.9191919191919192,0.6893939393939394,0.7878787878787878
popper_random,26,106,63,4,0.4472361809045226,0.8666666666666667,0.19696969696969696,0.32098765432098764
popper_all_dl,83,49,56,11,0.6984924623115578,0.8829787234042553,0.6287878787878788,0.7345132743362832
popper_all_filter_dl_bkcons,117,15,50,17,0.8391959798994975,0.8731343283582089,0.8863636363636364,0.8796992481203008
popper_all_filter_dl,104,28,54,13,0.7939698492462312,0.8888888888888888,0.7878787878787878,0.8353413654618473
popper_sb_dl_bkcons,92,40,57,10,0.7487437185929648,0.9019607843137255,0.696969696969697,0.7863247863247863
popper_random_dl_bkcons,56,76,62,5,0.592964824120603,0.9180327868852459,0.42424242424242425,0.5803108808290155
popper_sb_filter_dl_bkcons,117,15,40,27,0.7889447236180904,0.8125,0.8863636363636364,0.8478260869565217
era_paper,83,49,59,8,0.7135678391959799,0.9120879120879121,0.6287878787878788,0.7443946188340808
popper_sb_dl,107,25,57,10,0.8241206030150754,0.9145299145299145,0.8106060606060606,0.8594377510040161
popper_random_dl,44,88,63,4,0.5376884422110553,0.9166666666666666,0.3333333333333333,0.4888888888888889
aleph_sb,53,79,61,6,0.5728643216080402,0.8983050847457628,0.4015151515151515,0.5549738219895288
aleph_random,57,75,64,3,0.6080402010050251,0.95,0.4318181818181818,0.59375
popper_all_dl_bkcons,58,74,61,6,0.5979899497487438,0.90625,0.4393939393939394,0.5918367346938775
aleph_all,86,46,57,10,0.7185929648241206,0.8958333333333334,0.6515151515151515,0.7543859649122807
popper_sb,66,66,61,6,0.6381909547738693,0.9166666666666666,0.5,0.6470588235294118
popper_all_norec,68,64,58,9,0.6331658291457286,0.8831168831168831,0.5151515151515151,0.6507177033492823
manual,83,49,59,8,0.7135678391959799,0.9120879120879121,0.6287878787878788,0.7443946188340808
popper_random_filter_dl,68,64,56,11,0.6231155778894473,0.8607594936708861,0.5151515151515151,0.6445497630331753
popper_all_filter,93,39,57,10,0.7537688442211056,0.9029126213592233,0.7045454545454546,0.7914893617021277
