solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,28,42,37,1,0.6018518518518519,0.9655172413793104,0.4,0.5656565656565656
popper_random_filter,38,32,22,16,0.5555555555555556,0.7037037037037037,0.5428571428571428,0.6129032258064516
popper_sb_filter,35,35,32,6,0.6203703703703703,0.8536585365853658,0.5,0.6306306306306306
popper_sb_filter_dl,34,36,29,9,0.5833333333333334,0.7906976744186046,0.4857142857142857,0.6017699115044248
popper_random_filter_dl_bkcons,52,18,12,26,0.5925925925925926,0.6666666666666666,0.7428571428571429,0.7027027027027027
popper_random,65,5,3,35,0.6296296296296297,0.65,0.9285714285714286,0.7647058823529411
popper_all_dl,47,23,23,15,0.6481481481481481,0.7580645161290323,0.6714285714285714,0.7121212121212122
popper_all_filter_dl_bkcons,52,18,22,16,0.6851851851851852,0.7647058823529411,0.7428571428571429,0.7536231884057971
popper_all_filter_dl,48,22,28,10,0.7037037037037037,0.8275862068965517,0.6857142857142857,0.75
popper_sb_dl_bkcons,60,10,30,8,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8695652173913043
popper_random_dl_bkcons,69,1,4,34,0.6759259259259259,0.6699029126213593,0.9857142857142858,0.7976878612716763
popper_sb_filter_dl_bkcons,56,14,11,27,0.6203703703703703,0.6746987951807228,0.8,0.7320261437908496
era_paper,47,23,23,15,0.6481481481481481,0.7580645161290323,0.6714285714285714,0.7121212121212122
popper_sb_dl,67,3,0,38,0.6203703703703703,0.638095238095238,0.9571428571428572,0.7657142857142857
popper_random_dl,60,10,2,36,0.5740740740740741,0.625,0.8571428571428571,0.7228915662650602
aleph_sb,66,4,12,26,0.7222222222222222,0.717391304347826,0.9428571428571428,0.8148148148148148
aleph_random,60,10,11,27,0.6574074074074074,0.6896551724137931,0.8571428571428571,0.7643312101910829
popper_all_dl_bkcons,55,15,12,26,0.6203703703703703,0.6790123456790124,0.7857142857142857,0.7284768211920529
aleph_all,58,12,15,23,0.6759259259259259,0.7160493827160493,0.8285714285714286,0.7682119205298014
popper_sb,70,0,15,23,0.7870370370370371,0.7526881720430108,1.0,0.8588957055214724
popper_all_norec,37,33,23,15,0.5555555555555556,0.7115384615384616,0.5285714285714286,0.6065573770491803
manual,70,0,12,26,0.7592592592592593,0.7291666666666666,1.0,0.8433734939759037
popper_random_filter_dl,34,36,17,21,0.4722222222222222,0.6181818181818182,0.4857142857142857,0.544
popper_all_filter,30,40,35,3,0.6018518518518519,0.9090909090909091,0.42857142857142855,0.5825242718446602
