solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,71,59,15,5,0.5733333333333334,0.9342105263157895,0.5461538461538461,0.6893203883495146
popper_random_filter,96,34,16,4,0.7466666666666667,0.96,0.7384615384615385,0.8347826086956521
popper_sb_filter,36,94,20,0,0.37333333333333335,1.0,0.27692307692307694,0.43373493975903615
popper_sb_filter_dl,124,6,14,6,0.92,0.9538461538461539,0.9538461538461539,0.9538461538461539
popper_random_filter_dl_bkcons,92,38,16,4,0.72,0.9583333333333334,0.7076923076923077,0.8141592920353983
popper_random,43,87,19,1,0.41333333333333333,0.9772727272727273,0.33076923076923076,0.4942528735632184
popper_all_dl,110,20,19,1,0.86,0.990990990990991,0.8461538461538461,0.9128630705394191
popper_all_filter_dl_bkcons,58,72,18,2,0.5066666666666667,0.9666666666666667,0.4461538461538462,0.6105263157894737
popper_all_filter_dl,64,66,18,2,0.5466666666666666,0.9696969696969697,0.49230769230769234,0.6530612244897959
popper_sb_dl_bkcons,116,14,17,3,0.8866666666666667,0.9747899159663865,0.8923076923076924,0.9317269076305221
popper_random_dl_bkcons,83,47,16,4,0.66,0.9540229885057471,0.6384615384615384,0.7649769585253456
popper_sb_filter_dl_bkcons,123,7,12,8,0.9,0.9389312977099237,0.9461538461538461,0.9425287356321839
era_paper,79,51,15,5,0.6266666666666667,0.9404761904761905,0.6076923076923076,0.7383177570093458
popper_sb_dl,122,8,17,3,0.9266666666666666,0.976,0.9384615384615385,0.9568627450980393
popper_random_dl,71,59,16,4,0.58,0.9466666666666667,0.5461538461538461,0.6926829268292682
aleph_sb,84,46,19,1,0.6866666666666666,0.9882352941176471,0.6461538461538462,0.7813953488372093
aleph_random,112,18,14,6,0.84,0.9491525423728814,0.8615384615384616,0.9032258064516129
popper_all_dl_bkcons,110,20,19,1,0.86,0.990990990990991,0.8461538461538461,0.9128630705394191
aleph_all,101,29,15,5,0.7733333333333333,0.9528301886792453,0.7769230769230769,0.8559322033898306
popper_sb,102,28,16,4,0.7866666666666666,0.9622641509433962,0.7846153846153846,0.864406779661017
popper_all_norec,57,73,18,2,0.5,0.9661016949152542,0.43846153846153846,0.6031746031746031
manual,112,18,11,9,0.82,0.9256198347107438,0.8615384615384616,0.8924302788844621
popper_random_filter_dl,66,64,16,4,0.5466666666666666,0.9428571428571428,0.5076923076923077,0.66
popper_all_filter,36,94,20,0,0.37333333333333335,1.0,0.27692307692307694,0.43373493975903615
