solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,94,54,27,7,0.6648351648351648,0.9306930693069307,0.6351351351351351,0.7550200803212851
popper_random_filter,113,35,9,25,0.6703296703296703,0.8188405797101449,0.7635135135135135,0.7902097902097902
popper_sb_filter,73,75,34,0,0.5879120879120879,1.0,0.49324324324324326,0.6606334841628959
popper_sb_filter_dl,134,14,9,25,0.7857142857142857,0.8427672955974843,0.9054054054054054,0.8729641693811075
popper_random_filter_dl_bkcons,105,43,10,24,0.6318681318681318,0.813953488372093,0.7094594594594594,0.7581227436823105
popper_random,83,65,26,8,0.5989010989010989,0.9120879120879121,0.5608108108108109,0.694560669456067
popper_all_dl,103,45,25,9,0.7032967032967034,0.9196428571428571,0.6959459459459459,0.7923076923076923
popper_all_filter_dl_bkcons,97,51,30,4,0.6978021978021978,0.9603960396039604,0.6554054054054054,0.7791164658634538
popper_all_filter_dl,94,54,30,4,0.6813186813186813,0.9591836734693877,0.6351351351351351,0.7642276422764228
popper_sb_dl_bkcons,121,27,14,20,0.7417582417582418,0.8581560283687943,0.8175675675675675,0.8373702422145328
popper_random_dl_bkcons,90,58,26,8,0.6373626373626373,0.9183673469387755,0.6081081081081081,0.7317073170731707
popper_sb_filter_dl_bkcons,132,16,11,23,0.7857142857142857,0.8516129032258064,0.8918918918918919,0.8712871287128713
era_paper,113,35,13,21,0.6923076923076923,0.8432835820895522,0.7635135135135135,0.8014184397163121
popper_sb_dl,138,10,16,18,0.8461538461538461,0.8846153846153846,0.9324324324324325,0.9078947368421053
popper_random_dl,81,67,31,3,0.6153846153846154,0.9642857142857143,0.5472972972972973,0.6982758620689655
aleph_sb,95,53,28,6,0.6758241758241759,0.9405940594059405,0.6418918918918919,0.7630522088353414
aleph_random,100,48,27,7,0.6978021978021978,0.9345794392523364,0.6756756756756757,0.7843137254901961
popper_all_dl_bkcons,107,41,16,18,0.6758241758241759,0.856,0.722972972972973,0.7838827838827839
aleph_all,114,34,26,8,0.7692307692307693,0.9344262295081968,0.7702702702702703,0.8444444444444444
popper_sb,113,35,16,18,0.7087912087912088,0.8625954198473282,0.7635135135135135,0.8100358422939068
popper_all_norec,49,99,23,11,0.3956043956043956,0.8166666666666667,0.3310810810810811,0.47115384615384615
manual,113,35,13,21,0.6923076923076923,0.8432835820895522,0.7635135135135135,0.8014184397163121
popper_random_filter_dl,96,52,19,15,0.6318681318681318,0.8648648648648649,0.6486486486486487,0.7413127413127413
popper_all_filter,73,75,34,0,0.5879120879120879,1.0,0.49324324324324326,0.6606334841628959
