solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,132,112,214,30,0.7090163934426229,0.8148148148148148,0.5409836065573771,0.6502463054187192
popper_random_filter,115,129,223,21,0.6926229508196722,0.8455882352941176,0.4713114754098361,0.6052631578947368
popper_sb_filter,176,68,230,14,0.8319672131147541,0.9263157894736842,0.7213114754098361,0.8110599078341014
popper_sb_filter_dl,180,64,226,18,0.8319672131147541,0.9090909090909091,0.7377049180327869,0.8144796380090498
popper_random_filter_dl_bkcons,234,10,222,22,0.9344262295081968,0.9140625,0.9590163934426229,0.936
popper_random,99,145,237,7,0.6885245901639344,0.9339622641509434,0.4057377049180328,0.5657142857142857
popper_all_dl,210,34,220,24,0.8811475409836066,0.8974358974358975,0.860655737704918,0.8786610878661087
popper_all_filter_dl_bkcons,198,46,228,16,0.8729508196721312,0.9252336448598131,0.8114754098360656,0.8646288209606987
popper_all_filter_dl,55,189,244,0,0.6127049180327869,1.0,0.22540983606557377,0.36789297658862874
popper_sb_dl_bkcons,107,137,237,7,0.7049180327868853,0.9385964912280702,0.4385245901639344,0.5977653631284916
popper_random_dl_bkcons,227,17,195,49,0.8647540983606558,0.822463768115942,0.930327868852459,0.8730769230769231
popper_sb_filter_dl_bkcons,173,71,226,18,0.8176229508196722,0.9057591623036649,0.7090163934426229,0.7954022988505747
popper_sb_dl,203,41,240,4,0.9077868852459017,0.9806763285024155,0.8319672131147541,0.9002217294900222
popper_random_dl,149,95,200,44,0.7151639344262295,0.772020725388601,0.610655737704918,0.6819221967963387
popper_all_dl_bkcons,211,33,223,21,0.889344262295082,0.9094827586206896,0.8647540983606558,0.8865546218487395
popper_sb,200,44,244,0,0.9098360655737705,1.0,0.819672131147541,0.9009009009009009
manual,205,39,238,6,0.9077868852459017,0.9715639810426541,0.8401639344262295,0.9010989010989011
popper_random_filter_dl,203,41,199,45,0.8237704918032787,0.8185483870967742,0.8319672131147541,0.8252032520325203
popper_all_filter,115,129,230,14,0.7069672131147541,0.8914728682170543,0.4713114754098361,0.6166219839142091
