solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,140,83,191,32,0.742152466367713,0.813953488372093,0.6278026905829597,0.7088607594936709
popper_random_filter,130,93,190,33,0.7174887892376681,0.7975460122699386,0.5829596412556054,0.6735751295336787
popper_sb_filter,170,53,213,10,0.8587443946188341,0.9444444444444444,0.7623318385650224,0.8436724565756824
popper_sb_filter_dl,169,54,199,24,0.8251121076233184,0.8756476683937824,0.757847533632287,0.8125
popper_random_filter_dl_bkcons,207,16,197,26,0.905829596412556,0.8884120171673819,0.9282511210762332,0.9078947368421053
popper_random,112,111,214,9,0.7309417040358744,0.9256198347107438,0.5022421524663677,0.6511627906976745
popper_all_dl,195,28,206,17,0.899103139013453,0.9198113207547169,0.874439461883408,0.896551724137931
popper_all_filter_dl_bkcons,187,36,204,19,0.8766816143497758,0.9077669902912622,0.8385650224215246,0.8717948717948718
popper_all_filter_dl,79,144,217,6,0.6636771300448431,0.9294117647058824,0.3542600896860987,0.512987012987013
popper_sb_dl_bkcons,110,113,214,9,0.726457399103139,0.9243697478991597,0.49327354260089684,0.6432748538011696
popper_random_dl_bkcons,198,25,184,39,0.8565022421524664,0.8354430379746836,0.8878923766816144,0.8608695652173913
popper_sb_filter_dl_bkcons,161,62,202,21,0.8139013452914798,0.8846153846153846,0.7219730941704036,0.7950617283950617
popper_sb_dl,165,58,219,4,0.8609865470852018,0.9763313609467456,0.7399103139013453,0.8418367346938775
popper_random_dl,155,68,184,39,0.7600896860986547,0.7989690721649485,0.695067264573991,0.7434052757793765
popper_all_dl_bkcons,186,37,212,11,0.8923766816143498,0.9441624365482234,0.8340807174887892,0.8857142857142857
popper_sb,164,59,223,0,0.8677130044843049,1.0,0.7354260089686099,0.8475452196382429
manual,165,58,216,7,0.8542600896860987,0.9593023255813954,0.7399103139013453,0.8354430379746836
popper_random_filter_dl,193,30,179,44,0.8340807174887892,0.8143459915611815,0.8654708520179372,0.8391304347826087
popper_all_filter,137,86,206,17,0.7690582959641256,0.8896103896103896,0.6143497757847534,0.726790450928382
