solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,56,30,78,8,0.7790697674418605,0.875,0.6511627906976745,0.7466666666666667
popper_random_filter,52,34,80,6,0.7674418604651163,0.896551724137931,0.6046511627906976,0.7222222222222222
popper_sb_filter,66,20,82,4,0.8604651162790697,0.9428571428571428,0.7674418604651163,0.8461538461538461
popper_sb_filter_dl,63,23,77,9,0.813953488372093,0.875,0.7325581395348837,0.7974683544303798
popper_random_filter_dl_bkcons,78,8,81,5,0.9244186046511628,0.9397590361445783,0.9069767441860465,0.9230769230769231
popper_random,47,39,83,3,0.7558139534883721,0.94,0.5465116279069767,0.6911764705882353
popper_all_dl,73,13,80,6,0.8895348837209303,0.9240506329113924,0.8488372093023255,0.8848484848484849
popper_all_filter_dl_bkcons,74,12,75,11,0.8662790697674418,0.8705882352941177,0.8604651162790697,0.8654970760233918
popper_all_filter_dl,41,45,86,0,0.7383720930232558,1.0,0.47674418604651164,0.6456692913385826
popper_sb_dl_bkcons,43,43,85,1,0.7441860465116279,0.9772727272727273,0.5,0.6615384615384615
popper_random_dl_bkcons,75,11,83,3,0.9186046511627907,0.9615384615384616,0.872093023255814,0.9146341463414634
popper_sb_filter_dl_bkcons,56,30,84,2,0.813953488372093,0.9655172413793104,0.6511627906976745,0.7777777777777778
popper_sb_dl,50,36,86,0,0.7906976744186046,1.0,0.5813953488372093,0.7352941176470589
popper_random_dl,52,34,79,7,0.7616279069767442,0.8813559322033898,0.6046511627906976,0.7172413793103448
popper_all_dl_bkcons,62,24,82,4,0.8372093023255814,0.9393939393939394,0.7209302325581395,0.8157894736842105
popper_sb,50,36,86,0,0.7906976744186046,1.0,0.5813953488372093,0.7352941176470589
manual,53,33,83,3,0.7906976744186046,0.9464285714285714,0.6162790697674418,0.7464788732394366
popper_random_filter_dl,72,14,72,14,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814
popper_all_filter,55,31,83,3,0.8023255813953488,0.9482758620689655,0.6395348837209303,0.7638888888888888
