solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,63,43,96,10,0.75,0.863013698630137,0.5943396226415094,0.7039106145251397
popper_random_filter,67,39,97,9,0.7735849056603774,0.881578947368421,0.6320754716981132,0.7362637362637363
popper_sb_filter,71,35,97,9,0.7924528301886793,0.8875,0.6698113207547169,0.7634408602150538
popper_sb_filter_dl,68,38,91,15,0.75,0.8192771084337349,0.6415094339622641,0.7195767195767195
popper_random_filter_dl_bkcons,89,17,100,6,0.8915094339622641,0.9368421052631579,0.839622641509434,0.8855721393034826
popper_random,56,50,100,6,0.7358490566037735,0.9032258064516129,0.5283018867924528,0.6666666666666666
popper_all_dl,92,14,97,9,0.8915094339622641,0.9108910891089109,0.8679245283018868,0.8888888888888888
popper_all_filter_dl_bkcons,94,12,89,17,0.8632075471698113,0.8468468468468469,0.8867924528301887,0.8663594470046083
popper_all_filter_dl,33,73,106,0,0.6556603773584906,1.0,0.3113207547169811,0.4748201438848921
popper_sb_dl_bkcons,50,56,105,1,0.7311320754716981,0.9803921568627451,0.4716981132075472,0.6369426751592356
popper_random_dl_bkcons,89,17,90,16,0.8443396226415094,0.8476190476190476,0.839622641509434,0.8436018957345972
popper_sb_filter_dl_bkcons,64,42,100,6,0.7735849056603774,0.9142857142857143,0.6037735849056604,0.7272727272727273
popper_sb_dl,49,57,105,1,0.7264150943396226,0.98,0.46226415094339623,0.6282051282051282
popper_random_dl,78,28,91,15,0.7971698113207547,0.8387096774193549,0.7358490566037735,0.7839195979899497
popper_all_dl_bkcons,76,30,103,3,0.8443396226415094,0.9620253164556962,0.7169811320754716,0.8216216216216217
popper_sb,49,57,105,1,0.7264150943396226,0.98,0.46226415094339623,0.6282051282051282
manual,53,53,104,2,0.7405660377358491,0.9636363636363636,0.5,0.6583850931677019
popper_random_filter_dl,92,14,92,14,0.8679245283018868,0.8679245283018868,0.8679245283018868,0.8679245283018868
popper_all_filter,64,42,100,6,0.7735849056603774,0.9142857142857143,0.6037735849056604,0.7272727272727273
