solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,53,64,105,12,0.6752136752136753,0.8153846153846154,0.452991452991453,0.5824175824175825
popper_random_filter,37,80,109,8,0.6239316239316239,0.8222222222222222,0.3162393162393162,0.4567901234567901
popper_sb_filter,90,27,108,9,0.8461538461538461,0.9090909090909091,0.7692307692307693,0.8333333333333334
popper_sb_filter_dl,85,32,105,12,0.811965811965812,0.8762886597938144,0.7264957264957265,0.794392523364486
popper_random_filter_dl_bkcons,117,0,108,9,0.9615384615384616,0.9285714285714286,1.0,0.9629629629629629
popper_random,29,88,113,4,0.6068376068376068,0.8787878787878788,0.24786324786324787,0.38666666666666666
popper_all_dl,115,2,106,11,0.9444444444444444,0.9126984126984127,0.9829059829059829,0.9465020576131687
popper_all_filter_dl_bkcons,81,36,114,3,0.8333333333333334,0.9642857142857143,0.6923076923076923,0.8059701492537313
popper_all_filter_dl,27,90,116,1,0.6111111111111112,0.9642857142857143,0.23076923076923078,0.3724137931034483
popper_sb_dl_bkcons,42,75,113,4,0.6623931623931624,0.9130434782608695,0.358974358974359,0.5153374233128835
popper_random_dl_bkcons,107,10,90,27,0.8418803418803419,0.7985074626865671,0.9145299145299145,0.852589641434263
popper_sb_filter_dl_bkcons,86,31,106,11,0.8205128205128205,0.8865979381443299,0.7350427350427351,0.8037383177570093
popper_sb_dl,117,0,113,4,0.9829059829059829,0.9669421487603306,1.0,0.9831932773109243
popper_random_dl,71,46,89,28,0.6837606837606838,0.7171717171717171,0.6068376068376068,0.6574074074074074
popper_all_dl_bkcons,114,3,115,2,0.9786324786324786,0.9827586206896551,0.9743589743589743,0.9785407725321889
popper_sb,117,0,117,0,1.0,1.0,1.0,1.0
manual,113,4,112,5,0.9615384615384616,0.9576271186440678,0.9658119658119658,0.9617021276595744
popper_random_filter_dl,96,21,99,18,0.8333333333333334,0.8421052631578947,0.8205128205128205,0.8311688311688312
popper_all_filter,55,62,99,18,0.6581196581196581,0.7534246575342466,0.4700854700854701,0.5789473684210527
