solution,tp,fn,tn,fp,accuracy,precision,recall,f1
popper_all,31,30,54,7,0.6967213114754098,0.8157894736842105,0.5081967213114754,0.6262626262626263
popper_random_filter,33,28,54,7,0.7131147540983607,0.825,0.5409836065573771,0.6534653465346535
popper_sb_filter,58,3,58,3,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475
popper_sb_filter_dl,55,6,55,6,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951
popper_random_filter_dl_bkcons,61,0,55,6,0.9508196721311475,0.9104477611940298,1.0,0.953125
popper_random,22,39,58,3,0.6557377049180327,0.88,0.36065573770491804,0.5116279069767442
popper_all_dl,61,0,54,7,0.9426229508196722,0.8970588235294118,1.0,0.9457364341085271
popper_all_filter_dl_bkcons,56,5,60,1,0.9508196721311475,0.9824561403508771,0.9180327868852459,0.9491525423728814
popper_all_filter_dl,13,48,60,1,0.5983606557377049,0.9285714285714286,0.21311475409836064,0.3466666666666667
popper_sb_dl_bkcons,31,30,59,2,0.7377049180327869,0.9393939393939394,0.5081967213114754,0.6595744680851063
popper_random_dl_bkcons,59,2,37,24,0.7868852459016393,0.7108433734939759,0.9672131147540983,0.8194444444444444
popper_sb_filter_dl_bkcons,54,7,56,5,0.9016393442622951,0.9152542372881356,0.8852459016393442,0.9
popper_sb_dl,61,0,58,3,0.9754098360655737,0.953125,1.0,0.976
popper_random_dl,32,29,47,14,0.6475409836065574,0.6956521739130435,0.5245901639344263,0.5981308411214953
popper_all_dl_bkcons,61,0,58,3,0.9754098360655737,0.953125,1.0,0.976
popper_sb,61,0,61,0,1.0,1.0,1.0,1.0
manual,61,0,55,6,0.9508196721311475,0.9104477611940298,1.0,0.953125
popper_random_filter_dl,54,7,51,10,0.860655737704918,0.84375,0.8852459016393442,0.864
popper_all_filter,25,36,53,8,0.639344262295082,0.7575757575757576,0.4098360655737705,0.5319148936170213
