time,program
1.354785680770874,"stable(A):- fixed(A).
"
1.4421563148498535,"stable(A):- fixed(A).
stable(A):- mobile(B),leftDuring(B,A).
"
1.4556756019592285,"stable(A):- fixed(A).
stable(A):- mobile(B),lessStarts(B,A).
stable(A):- mobile(B),leftDuring(B,A).
"
1.6465530395507812,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- mobile(B),lessStarts(B,A).
stable(A):- mobile(B),leftDuring(B,A).
"
1.6643602848052979,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- mobile(B),lessStarts(B,A).
stable(A):- mobile(B),leftDuring(B,A).
"
2.783365249633789,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- object(B),lessOverlapsMostI(B,C),lessFinishesI(C,A).
"
2.798076629638672,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- object(B),lessOverlapsMostI(B,C),lessFinishesI(C,A).
stable(A):- object(B),mostOverlapsMost(B,C),lessFinishesI(C,A).
"
2.8073437213897705,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- object(B),meets(B,C),lessFinishesI(C,A).
stable(A):- object(B),mostOverlapsMost(B,C),lessFinishesI(C,A).
"
2.8440940380096436,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- object(B),lessStarts(B,C),lessFinishesI(C,A).
stable(A):- object(B),meets(B,C),lessFinishesI(C,A).
stable(A):- object(B),mostOverlapsMost(B,C),lessFinishesI(C,A).
"
3.5555760860443115,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- mobile(B),mostOverlapsLess(B,C),lessFinishesI(C,A).
stable(A):- fixed(B),below(B,C),lessFinishesI(C,A).
stable(A):- object(A),overlapsYI(A,B),mostFinishes(B,A).
"
3.5925049781799316,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- mobile(B),lessStarts(B,A).
stable(A):- mobile(B),mostOverlapsLess(B,C),lessFinishesI(C,A).
stable(A):- fixed(B),below(B,C),lessFinishesI(C,A).
stable(A):- object(A),overlapsYI(A,B),mostOverlapsMostI(B,A).
stable(A):- object(A),overlapsYI(A,B),mostFinishes(B,A).
"
3.6068484783172607,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- mobile(B),lessStarts(B,A).
stable(A):- mobile(B),mostOverlapsLess(B,C),lessFinishesI(C,A).
stable(A):- fixed(B),below(B,C),lessFinishesI(C,A).
stable(A):- object(A),overlapsYI(A,B),mostOverlapsMostI(B,A).
stable(A):- object(A),overlapsYI(A,B),mostOverlapsLess(B,A).
stable(A):- object(A),overlapsYI(A,B),mostFinishes(B,A).
"
