time,program
1.8766579627990723,"stable(A):- fixed(A).
"
2.014267921447754,"stable(A):- fixed(A).
stable(A):- fixed(B),centerDuring(B,A).
"
2.059497833251953,"stable(A):- fixed(A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
"
2.150362253189087,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
"
2.162419319152832,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
"
3.279041290283203,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsMost(B,A).
"
3.3181943893432617,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsLess(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsMost(B,A).
"
3.3270981311798096,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsLess(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsMostI(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsMost(B,A).
"
3.3661742210388184,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsLess(B,A).
stable(A):- fixed(C),overlapsY(C,B),duringY(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsMost(B,A).
"
3.380988121032715,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(C),overlapsY(C,B),centerDuringI(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsLess(B,A).
stable(A):- fixed(C),overlapsY(C,B),duringY(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsMost(B,A).
"
3.4779343605041504,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- object(C),overlapsY(C,B),mostFinishesI(B,A).
stable(A):- fixed(C),overlapsY(C,B),centerDuringI(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsLess(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsMost(B,A).
stable(A):- fixed(C),overlapsY(C,B),finishesY(B,A).
"
3.5187392234802246,"stable(A):- fixed(A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- object(C),overlapsY(C,B),finishesY(B,A).
stable(A):- object(C),overlapsY(C,B),mostFinishesI(B,A).
stable(A):- fixed(C),overlapsY(C,B),centerDuringI(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsLess(B,A).
stable(A):- fixed(C),overlapsY(C,B),lessOverlapsMost(B,A).
"
