time,program
1.950230598449707,"stable(A):- fixed(A).
"
2.016735076904297,"stable(A):- fixed(A).
stable(A):- fixed(B),overlapsYI(B,A).
"
2.04231858253479,"stable(A):- fixed(A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
"
2.05395770072937,"stable(A):- fixed(A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),mostOverlapsMost(B,A).
"
2.1095573902130127,"stable(A):- fixed(A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),startsYI(B,A).
"
2.166210651397705,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),startsYI(B,A).
"
2.237456798553467,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
"
3.251981496810913,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
"
3.275797128677368,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
"
3.2857861518859863,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
"
3.343446731567383,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.363297939300537,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.3763396739959717,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.3945181369781494,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.4066085815429688,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessOverlapsLessI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.4326558113098145,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessOverlapsLessI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessFinishesI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.6360561847686768,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessOverlapsLessI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),on(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessFinishesI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.6965091228485107,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessOverlapsLessI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),on(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessFinishesI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),below(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.7352583408355713,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),onI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),on(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessFinishesI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),below(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.983325242996216,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),onI(B,A).
stable(A):- mobile(B),startsYI(B,C),lessOverlapsLessI(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),on(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessFinishesI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),below(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),finishesYI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
3.998286724090576,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStartsI(B,A).
stable(A):- mobile(B),startsYI(B,C),lessOverlapsLessI(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- mobile(B),startsYI(B,C),duringYI(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),on(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessFinishesI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),below(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
4.025050640106201,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- mobile(B),startsYI(B,C),lessOverlapsLessI(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- mobile(B),startsYI(B,C),duringYI(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),on(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessFinishesI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),below(B,A).
stable(A):- mobile(B),startsYI(B,C),lessOverlapsMost(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
4.090004920959473,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(B),duringY(B,A).
stable(A):- mobile(B),startsYI(B,C),lessOverlapsLessI(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),overlapsY(B,A).
stable(A):- mobile(B),startsYI(B,C),duringYI(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),leftDuringI(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessStarts(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),on(B,A).
stable(A):- object(C),lessOverlapsMost(C,B),lessFinishesI(B,A).
stable(A):- mobile(B),startsYI(B,C),lessFinishes(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),rightDuringI(B,A).
stable(A):- fixed(C),lessOverlapsMost(C,B),below(B,A).
stable(A):- mobile(B),startsYI(B,C),lessOverlapsMost(C,A).
stable(A):- object(C),lessOverlapsMost(C,B),startsYI(B,A).
"
