time,program
1.7800452709197998,"stable(A):- fixed(A).
"
2.926211357116699,"stable(A):- fixed(A).
stable(A):- fixed(B),meets(B,A).
"
2.9457461833953857,"stable(A):- fixed(A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
stable(A):- fixed(B),meets(B,A).
"
2.9582483768463135,"stable(A):- fixed(A).
stable(A):- fixed(B),meets(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
"
2.9687066078186035,"stable(A):- fixed(A).
stable(A):- fixed(B),meets(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),lessOverlapsMostI(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
"
2.98637056350708,"stable(A):- fixed(A).
stable(A):- fixed(B),meets(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),mostOverlapsLessI(B,A).
stable(A):- fixed(B),lessOverlapsMostI(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
"
3.0021374225616455,"stable(A):- fixed(A).
stable(A):- fixed(B),meets(B,A).
stable(A):- fixed(B),lessOverlapsLessI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),mostOverlapsLessI(B,A).
stable(A):- fixed(B),lessOverlapsMostI(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
"
3.021515369415283,"stable(A):- fixed(A).
stable(A):- fixed(B),meets(B,A).
stable(A):- fixed(B),lessStartsI(B,A).
stable(A):- fixed(B),lessOverlapsLessI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),mostOverlapsLessI(B,A).
stable(A):- fixed(B),lessOverlapsMostI(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
"
3.0614736080169678,"stable(A):- fixed(A).
stable(A):- fixed(B),meets(B,A).
stable(A):- fixed(B),lessStartsI(B,A).
stable(A):- fixed(B),lessOverlapsLessI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),mostOverlapsLessI(B,A).
stable(A):- fixed(B),mostFinishes(B,A).
stable(A):- fixed(B),lessOverlapsMostI(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
"
3.0991995334625244,"stable(A):- fixed(A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),mostOverlapsLessI(B,A).
stable(A):- fixed(B),lessOverlapsMostI(B,A).
stable(A):- fixed(B),lessStartsI(B,A).
stable(A):- fixed(B),rightDuring(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
stable(A):- fixed(B),meets(B,A).
"
3.1325571537017822,"stable(A):- fixed(A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- fixed(B),mostOverlapsLessI(B,A).
stable(A):- fixed(B),lessOverlapsMostI(B,A).
stable(A):- fixed(B),lessStartsI(B,A).
stable(A):- fixed(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
stable(A):- fixed(B),meets(B,A).
"
