time,program
2.6617212295532227,"stable(A):- fixed(A).
"
17.007891178131104,"stable(A):- fixed(A).
stable(A):- mobile(B),leftDuringI(B,A).
"
17.987791776657104,"stable(A):- fixed(A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- mobile(B),mostFinishesI(B,A).
"
18.000711917877197,"stable(A):- fixed(A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
20.790536880493164,"stable(A):- fixed(A).
stable(A):- mobile(B),rightDuring(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
20.802138566970825,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
23.203511476516724,"stable(A):- fixed(A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
23.85159206390381,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
29.689284801483154,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- mobile(B),lessStartsI(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
29.71194314956665,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
30.21211862564087,"stable(A):- fixed(A).
stable(A):- mobile(B),mostFinishesI(B,A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- mobile(B),leftDuring(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
"
37.52500915527344,"stable(A):- fixed(A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- mobile(B),rightDuring(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),leftDuring(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
40.267579317092896,"stable(A):- fixed(A).
stable(A):- mobile(B),lessStarts(B,A).
stable(A):- mobile(B),mostFinishesI(B,A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- object(B),lessOverlapsLessI(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- mobile(B),rightDuring(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
"
40.28663635253906,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
stable(A):- object(B),lessFinishesI(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
68.2472870349884,"stable(A):- fixed(A).
stable(A):- mobile(B),mostFinishesI(B,A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- object(B),lessOverlapsLessI(B,A).
stable(A):- mobile(B),rightDuring(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(B),lessFinishesI(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
"
68.30618977546692,"stable(A):- fixed(A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- object(B),lessOverlapsLessI(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(B),lessFinishesI(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
68.32654523849487,"stable(A):- fixed(A).
stable(A):- mobile(B),lessStarts(B,A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- mobile(B),rightDuring(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
68.34788036346436,"stable(A):- fixed(A).
stable(A):- fixed(B),finishesYI(B,A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- mobile(B),rightDuring(B,A).
stable(A):- object(B),lessStarts(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
stable(A):- object(B),mostFinishesI(B,A).
"
68.40080428123474,"stable(A):- fixed(A).
stable(A):- mobile(B),lessStarts(B,A).
stable(A):- mobile(B),mostFinishesI(B,A).
stable(A):- fixed(B),finishesYI(B,A).
stable(A):- object(B),mostFinishes(B,A).
stable(A):- object(B),lessOverlapsLessI(B,A).
stable(A):- mobile(B),lessFinishesI(B,A).
stable(A):- mobile(B),rightDuring(B,A).
stable(A):- fixed(B),mostOverlapsLessI(B,A).
stable(A):- fixed(B),startsYI(B,A).
stable(A):- object(B),lessStartsI(B,A).
stable(A):- fixed(B),overlapsYI(B,A).
stable(A):- fixed(B),lessOverlapsMost(B,A).
stable(A):- mobile(B),leftDuringI(B,A).
"
