time,program
1.629072904586792,"stable(A):- fixed(A).
"
1.7352030277252197,"stable(A):- fixed(A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
"
1.8617579936981201,"stable(A):- fixed(A).
stable(A):- fixed(B),leftDuring(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
"
1.8741860389709473,"stable(A):- fixed(A).
stable(A):- fixed(B),leftDuring(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
"
1.900446891784668,"stable(A):- fixed(A).
stable(A):- fixed(B),lessFinishesI(B,A).
stable(A):- fixed(B),leftDuring(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
"
1.9178056716918945,"stable(A):- fixed(A).
stable(A):- fixed(B),lessFinishesI(B,A).
stable(A):- fixed(B),leftDuring(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),mostFinishes(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
"
1.9476120471954346,"stable(A):- fixed(A).
stable(A):- fixed(B),lessFinishesI(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),mostOverlapsLess(B,A).
stable(A):- fixed(B),mostFinishes(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
"
1.9966654777526855,"stable(A):- fixed(A).
stable(A):- fixed(B),lessFinishesI(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),lessStartsI(B,A).
stable(A):- fixed(B),mostOverlapsLess(B,A).
stable(A):- fixed(B),mostFinishes(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
"
2.010798692703247,"stable(A):- fixed(A).
stable(A):- fixed(B),lessFinishesI(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),lessStartsI(B,A).
stable(A):- fixed(B),mostOverlapsLess(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
stable(A):- fixed(B),mostFinishes(B,A).
stable(A):- mobile(B),lessOverlapsLessI(B,A).
"
3.2869884967803955,"stable(A):- fixed(A).
stable(A):- fixed(B),lessFinishesI(B,A).
stable(A):- fixed(B),centerDuring(B,A).
stable(A):- fixed(B),lessStartsI(B,A).
stable(A):- fixed(B),mostOverlapsLess(B,A).
stable(A):- fixed(B),mostOverlapsMostI(B,A).
stable(A):- object(B),lessOverlapsLessI(B,A).
stable(A):- fixed(B),mostFinishes(B,A).
stable(A):- object(B),rightDuring(B,C),lessStartsI(C,A).
"
