time,program
1.3585665225982666,"stable(A):- fixed(A).
"
1.4257662296295166,"stable(A):- fixed(A).
stable(A):- mobile(B),rightDuring(B,A).
"
2.7681045532226562,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- mobile(B),object(A),rightDuring(A,B).
"
2.8086793422698975,"stable(A):- fixed(A).
stable(A):- mobile(B),rightDuring(B,A).
stable(A):- object(A),on(A,B),rightDuring(A,B).
stable(A):- mobile(B),object(A),rightDuring(A,B).
"
3.2556614875793457,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),on(A,B),rightDuring(A,B).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- mobile(B),object(A),rightDuring(A,B).
"
3.3123393058776855,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),on(A,B),rightDuring(A,B).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- mobile(B),object(A),rightDuring(A,B).
stable(A):- fixed(B),object(A),mostOverlapsMost(A,B).
"
3.458331823348999,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),mostFinishes(A,B),below(A,B).
stable(A):- object(A),on(A,B),rightDuring(A,B).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- mobile(B),object(A),rightDuring(A,B).
stable(A):- fixed(B),object(A),mostOverlapsMost(A,B).
"
3.9341299533843994,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),mostFinishes(A,B),below(A,B).
stable(A):- object(A),on(A,B),rightDuring(A,B).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(A),lessOverlapsMostI(A,B),verticalContact(B,A).
stable(A):- mobile(B),object(A),rightDuring(A,B).
stable(A):- fixed(B),object(A),mostOverlapsMost(A,B).
"
4.128767013549805,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),mostFinishes(A,B),below(A,B).
stable(A):- object(A),lessOverlapsLess(A,B),surfaceContact(A,B).
stable(A):- object(A),on(A,B),rightDuring(A,B).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(A),lessOverlapsMostI(A,B),verticalContact(B,A).
stable(A):- mobile(B),object(A),rightDuring(A,B).
stable(A):- fixed(B),object(A),mostOverlapsMost(A,B).
"
4.156977653503418,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),rightDuringI(A,B),surfaceContact(A,B).
stable(A):- object(A),mostFinishes(A,B),below(A,B).
stable(A):- object(A),lessOverlapsLess(A,B),surfaceContact(A,B).
stable(A):- object(A),on(A,B),rightDuring(A,B).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(A),lessOverlapsMostI(A,B),verticalContact(B,A).
stable(A):- mobile(B),object(A),rightDuring(A,B).
stable(A):- fixed(B),object(A),mostOverlapsMost(A,B).
"
