time,program
2.3219187259674072,"stable(A):- fixed(A).
"
2.617605209350586,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
"
3.6732399463653564,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- mobile(A),fixed(B),lessOverlapsMost(A,B).
"
3.689563035964966,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- mobile(A),below(A,B),lessOverlapsMost(A,B).
stable(A):- mobile(A),fixed(B),lessOverlapsMost(A,B).
"
4.54787540435791,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),lessOverlapsMost(A,B),above(B,A).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(B),mostFinishesI(B,C),lessOverlapsMost(C,A).
"
4.567403078079224,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),lessOverlapsMost(A,B),above(B,A).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(B),rightDuring(B,C),lessOverlapsMost(C,A).
stable(A):- object(B),mostFinishesI(B,C),lessOverlapsMost(C,A).
"
4.65175461769104,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),lessOverlapsMost(A,B),above(B,A).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(B),startsY(B,C),lessStarts(C,A).
stable(A):- object(B),rightDuring(B,C),lessOverlapsMost(C,A).
stable(A):- object(B),mostFinishesI(B,C),lessOverlapsMost(C,A).
"
4.715377330780029,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),lessOverlapsMost(A,B),above(B,A).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(B),startsY(B,C),lessStarts(C,A).
stable(A):- object(B),rightDuring(B,C),lessOverlapsMost(C,A).
stable(A):- object(B),mostFinishesI(B,C),lessOverlapsMost(C,A).
stable(A):- object(B),mostOverlapsMostI(B,C),lessStarts(C,A).
"
4.72373104095459,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),lessOverlapsMost(A,B),above(B,A).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(B),meetsI(B,C),lessStarts(C,A).
stable(A):- object(B),startsY(B,C),lessStarts(C,A).
stable(A):- object(B),rightDuring(B,C),lessOverlapsMost(C,A).
stable(A):- object(B),mostFinishesI(B,C),lessOverlapsMost(C,A).
"
4.930231332778931,"stable(A):- fixed(A).
stable(A):- object(B),rightDuring(B,A).
stable(A):- object(A),lessOverlapsMost(A,B),above(B,A).
stable(A):- fixed(B),object(A),lessOverlapsMost(A,B).
stable(A):- object(B),meetsI(B,C),lessStarts(C,A).
stable(A):- object(B),on(B,A),centerDuringI(B,A).
stable(A):- object(B),startsY(B,C),lessStarts(C,A).
stable(A):- object(B),rightDuring(B,C),lessOverlapsMost(C,A).
stable(A):- object(B),mostFinishesI(B,C),lessOverlapsMost(C,A).
"
