time,program
271.0534870624542,"supports(A,B):- fixed(A),centerDuringI(A,B).
"
271.3256325721741,"supports(A,B):- fixed(A),centerDuringI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
"
272.19831705093384,"supports(A,B):- fixed(A),centerDuringI(A,B).
supports(A,B):- object(A),lessStartsI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
"
274.5815079212189,"supports(A,B):- object(B),duringY(B,A).
supports(A,B):- fixed(A),centerDuringI(A,B).
supports(A,B):- object(A),lessStartsI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
"
274.75302243232727,"supports(A,B):- object(B),duringY(B,A).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- fixed(A),startsY(A,B).
"
282.05659794807434,"supports(A,B):- object(B),duringY(B,A).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- object(A),mostOverlapsMostI(A,B).
supports(A,B):- fixed(A),startsY(A,B).
"
283.74966502189636,"supports(A,B):- object(B),duringY(B,A).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- mobile(B),rightDuring(B,A).
supports(A,B):- object(A),mostOverlapsMostI(A,B).
supports(A,B):- fixed(A),startsY(A,B).
"
284.30261301994324,"supports(A,B):- object(B),duringY(B,A).
supports(A,B):- object(A),rightDuringI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- object(A),mostOverlapsMostI(A,B).
supports(A,B):- fixed(A),startsY(A,B).
"
287.60496044158936,"supports(A,B):- object(A),rightDuringI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- object(A),mostOverlapsMostI(A,B).
supports(A,B):- object(B),duringY(B,A).
supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- object(B),on(B,A),equal(B,A).
"
287.62606143951416,"supports(A,B):- object(A),rightDuringI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- object(A),mostOverlapsMostI(A,B).
supports(A,B):- object(B),duringY(B,A).
supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- object(B),on(B,A),equal(B,A).
supports(A,B):- object(B),mostFinishesI(B,A),on(B,A).
"
287.642107963562,"supports(A,B):- object(A),rightDuringI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- object(A),mostOverlapsMostI(A,B).
supports(A,B):- object(B),duringY(B,A).
supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- object(B),on(B,A),lessOverlapsMost(B,A).
supports(A,B):- object(B),on(B,A),equal(B,A).
supports(A,B):- object(B),mostFinishesI(B,A),on(B,A).
"
287.652551651001,"supports(A,B):- object(A),rightDuringI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- object(A),mostOverlapsMostI(A,B).
supports(A,B):- object(B),duringY(B,A).
supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- object(B),on(B,A),centerDuring(B,A).
supports(A,B):- object(B),on(B,A),lessOverlapsMost(B,A).
supports(A,B):- object(B),on(B,A),equal(B,A).
supports(A,B):- object(B),mostFinishesI(B,A),on(B,A).
"
287.68037462234497,"supports(A,B):- object(A),rightDuringI(A,B).
supports(A,B):- object(A),centerDuring(A,B).
supports(A,B):- object(A),mostOverlapsMostI(A,B).
supports(A,B):- object(B),duringY(B,A).
supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- object(B),on(B,A),centerDuring(B,A).
supports(A,B):- object(B),on(B,A),lessOverlapsMost(B,A).
supports(A,B):- object(B),on(B,A),equal(B,A).
supports(A,B):- object(B),mostFinishesI(B,A),on(B,A).
supports(A,B):- object(B),mostFinishes(B,A),on(B,A).
"
