time,program
4.513978481292725,"supports(A,B):- mobile(B),centerDuringI(B,A).
"
4.576531171798706,"supports(A,B):- mobile(B),lessOverlapsLess(B,A).
supports(A,B):- mobile(B),centerDuringI(B,A).
"
4.627871990203857,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
"
4.675688743591309,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
"
4.688145637512207,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
"
4.714892625808716,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
"
4.74619722366333,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
supports(A,B):- fixed(A),lessFinishes(A,B).
"
5.070010423660278,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- object(A),lessOverlapsLessI(A,B).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
supports(A,B):- fixed(A),lessFinishes(A,B).
"
5.3271307945251465,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- mobile(A),centerDuringI(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- object(A),lessOverlapsLessI(A,B).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
supports(A,B):- fixed(A),lessFinishes(A,B).
"
5.429839372634888,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- mobile(A),centerDuringI(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- object(A),lessOverlapsLessI(A,B).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
supports(A,B):- fixed(A),lessFinishes(A,B).
supports(A,B):- object(A),duringYI(A,B),surfaceContact(A,B).
"
5.448106288909912,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- mobile(A),centerDuringI(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- object(A),lessOverlapsLessI(A,B).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
supports(A,B):- fixed(A),lessFinishes(A,B).
supports(A,B):- object(A),finishesYI(A,B),surfaceContact(A,B).
supports(A,B):- object(A),duringYI(A,B),surfaceContact(A,B).
"
5.631145000457764,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- mobile(A),centerDuringI(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- object(A),lessOverlapsLessI(A,B).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
supports(A,B):- fixed(A),lessFinishes(A,B).
supports(A,B):- mobile(B),mostFinishes(B,A),surfaceContact(A,B).
supports(A,B):- object(A),finishesYI(A,B),surfaceContact(A,B).
supports(A,B):- object(A),duringYI(A,B),surfaceContact(A,B).
"
5.715216875076294,"supports(A,B):- fixed(A),startsY(A,B).
supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- mobile(A),centerDuringI(A,B).
supports(A,B):- fixed(A),lessOverlapsMost(A,B).
supports(A,B):- fixed(A),mostOverlapsLess(A,B).
supports(A,B):- mobile(B),centerDuringI(B,A).
supports(A,B):- object(A),lessOverlapsLessI(A,B).
supports(A,B):- mobile(B),lessOverlapsLess(B,A).
supports(A,B):- fixed(A),lessFinishes(A,B).
supports(A,B):- mobile(B),mostFinishes(B,A),surfaceContact(A,B).
supports(A,B):- mobile(B),lessFinishes(B,A),surfaceContact(A,B).
supports(A,B):- object(A),finishesYI(A,B),surfaceContact(A,B).
supports(A,B):- object(A),duringYI(A,B),surfaceContact(A,B).
"
