time,program
1.3899192810058594,"supports(A,B):- mobile(B),startsYI(B,A).
"
1.6362395286560059,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
"
14.552444458007812,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
"
15.380736112594604,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
"
16.713218688964844,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
18.916797161102295,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
23.140242338180542,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
25.16267466545105,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
35.67757821083069,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
37.9247841835022,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
39.823803424835205,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),lessOverlapsMost(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
40.841097831726074,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostOverlapsLess(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),lessOverlapsMost(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
46.960628509521484,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostFinishes(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostOverlapsLess(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
100.41014456748962,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostFinishes(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostOverlapsLess(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),meetsI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
108.49533128738403,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostFinishes(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostOverlapsLess(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),meetsI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),mostOverlapsMostI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
109.50570440292358,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostFinishes(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostOverlapsLess(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),leftDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),meetsI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),mostOverlapsMostI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
111.4099760055542,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostFinishes(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostOverlapsLess(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),leftDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),meetsI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),mostOverlapsMostI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
114.58888554573059,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessStarts(C,A),leftDuringI(A,B).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostFinishes(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostOverlapsLess(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),leftDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),meetsI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),mostOverlapsMostI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
116.08498072624207,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(C),mostOverlapsMost(C,B),centerDuringI(C,A).
supports(A,B):- mobile(C),lessStarts(C,A),leftDuringI(A,B).
supports(A,B):- mobile(C),lessOverlapsMostI(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),mostFinishes(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),meets(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),lessStarts(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),mostOverlapsLess(C,A),centerDuringI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),leftDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),rightDuringI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsMostI(C,B).
supports(A,B):- mobile(C),centerDuringI(C,A),mostOverlapsLess(A,B).
supports(A,B):- mobile(C),meetsI(C,A),mostFinishesI(A,B).
supports(A,B):- mobile(C),lessOverlapsLess(C,A),mostOverlapsMostI(A,B).
supports(A,B):- mobile(C),centerDuringI(C,A),lessOverlapsLessI(A,B).
"
