time,program
2.0680761337280273,"supports(A,B):- fixed(A),lessFinishesI(A,B).
"
2.106785774230957,"supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
"
2.120468854904175,"supports(A,B):- fixed(A),rightDuringI(A,B).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
"
2.3196818828582764,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
"
2.682734489440918,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
"
2.691483497619629,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
"
3.4421005249023438,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),lessOverlapsLess(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
"
3.653876304626465,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),lessOverlapsLess(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.6807589530944824,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),lessOverlapsLess(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.7226333618164062,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),lessOverlapsLess(B,A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.738898277282715,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(A),mostFinishes(A,B),on(B,A).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),lessOverlapsLess(B,A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.772665500640869,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(A),mostOverlapsMost(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishes(A,B),on(B,A).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),lessOverlapsLess(B,A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.8155455589294434,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),mostOverlapsMost(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishes(A,B),on(B,A).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.8458824157714844,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),mostOverlapsMost(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishes(A,B),on(B,A).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessFinishesI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.872284173965454,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessFinishes(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),mostOverlapsMost(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishes(A,B),on(B,A).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessFinishesI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.8990633487701416,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessFinishes(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),mostOverlapsMost(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishes(A,B),on(B,A).
supports(A,B):- mobile(A),lessStartsI(A,B),pointSurfaceContact(B,A).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessFinishesI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.952446699142456,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(A),mostOverlapsLess(A,B),verticalContact(B,A).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessFinishes(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),mostOverlapsMost(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishes(A,B),on(B,A).
supports(A,B):- mobile(A),lessStartsI(A,B),pointSurfaceContact(B,A).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessFinishesI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
"
3.966123342514038,"supports(A,B):- mobile(B),startsYI(B,A).
supports(A,B):- fixed(A),lessFinishesI(A,B).
supports(A,B):- mobile(A),lessOverlapsMostI(A,B).
supports(A,B):- mobile(A),lessOverlapsLessI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessFinishes(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),mostOverlapsMost(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishes(A,B),on(B,A).
supports(A,B):- mobile(A),lessStartsI(A,B),pointSurfaceContact(B,A).
supports(A,B):- object(B),leftDuring(B,A),mobile(A).
supports(A,B):- mobile(A),lessFinishesI(A,B),pointSurfaceContact(B,A).
supports(A,B):- mobile(A),lessStarts(A,B),on(B,A).
supports(A,B):- object(B),rightDuring(B,A),mobile(A).
supports(A,B):- mobile(A),meetsI(A,B),on(B,A).
supports(A,B):- mobile(A),mostFinishesI(A,B),on(B,A).
supports(A,B):- mobile(A),mostOverlapsLess(A,B),on(B,A).
"
